,Departamento,Anio,Concepto,Cantidad
1042,Cauca,2006,Número de unidades de odontología,175
1043,Cesar,2006,Camas de hospitalización,823
1044,Cesar,2006,Camas de observación,212
1045,Cesar,2006,Consultorios de consulta externa,224
1046,Cesar,2006,Consultorios en el servicio de urgencias,69
1047,Cesar,2006,Salas de quirófanos,20
1048,Cesar,2006,Mesas de partos,62
1049,Cesar,2006,Número de unidades de odontología,85
1050,Chocó,2006,Camas de hospitalización,275
1051,Chocó,2006,Camas de observación,115
1052,Chocó,2006,Consultorios de consulta externa,61
1053,Chocó,2006,Consultorios en el servicio de urgencias,17
1054,Chocó,2006,Salas de quirófanos,7
1055,Chocó,2006,Mesas de partos,35
1056,Chocó,2006,Número de unidades de odontología,35
1057,Córdoba,2006,Camas de hospitalización,712
1058,Córdoba,2006,Camas de observación,183
1059,Córdoba,2006,Consultorios de consulta externa,252
1060,Córdoba,2006,Consultorios en el servicio de urgencias,53
1061,Córdoba,2006,Salas de quirófanos,21
1062,Córdoba,2006,Mesas de partos,46
1063,Córdoba,2006,Número de unidades de odontología,98
1064,Cundinamarca,2006,Camas de hospitalización,1.735
1065,Cundinamarca,2006,Camas de observación,641
1066,Cundinamarca,2006,Consultorios de consulta externa,526
1067,Cundinamarca,2006,Consultorios en el servicio de urgencias,118
1068,Cundinamarca,2006,Salas de quirófanos,70
1069,Cundinamarca,2006,Mesas de partos,79
1070,Cundinamarca,2006,Número de unidades de odontología,216
1071,Guainía,2006,Camas de hospitalización,59
1072,Guainía,2006,Camas de observación,6
1073,Guainía,2006,Consultorios de consulta externa,12
1074,Guainía,2006,Consultorios en el servicio de urgencias,2
1075,Guainía,2006,Salas de quirófanos,2
1076,Guainía,2006,Mesas de partos,5
1077,Guainía,2006,Número de unidades de odontología,7
1078,Guaviare,2006,Camas de hospitalización,144
1079,Guaviare,2006,Camas de observación,34
1080,Guaviare,2006,Consultorios de consulta externa,34
1081,Guaviare,2006,Consultorios en el servicio de urgencias,13
1082,Guaviare,2006,Salas de quirófanos,2
1083,Guaviare,2006,Mesas de partos,11
1084,Guaviare,2006,Número de unidades de odontología,11
1085,Huila,2006,Camas de hospitalización,819
1086,Huila,2006,Camas de observación,221
1087,Huila,2006,Consultorios de consulta externa,224
1088,Huila,2006,Consultorios en el servicio de urgencias,53
1089,Huila,2006,Salas de quirófanos,14
1090,Huila,2006,Mesas de partos,50
1091,Huila,2006,Número de unidades de odontología,120
1092,La Guajira,2006,Camas de hospitalización,323
1093,La Guajira,2006,Camas de observación,94
1094,La Guajira,2006,Consultorios de consulta externa,138
1095,La Guajira,2006,Consultorios en el servicio de urgencias,30
1096,La Guajira,2006,Salas de quirófanos,12
1097,La Guajira,2006,Mesas de partos,29
1098,La Guajira,2006,Número de unidades de odontología,77
1099,Magdalena,2006,Camas de hospitalización,521
1100,Magdalena,2006,Camas de observación,157
1101,Magdalena,2006,Consultorios de consulta externa,225
1102,Magdalena,2006,Consultorios en el servicio de urgencias,52
1103,Magdalena,2006,Salas de quirófanos,23
1104,Magdalena,2006,Mesas de partos,71
1105,Magdalena,2006,Número de unidades de odontología,113
1106,Meta,2006,Camas de hospitalización,605
1107,Meta,2006,Camas de observación,173
1108,Meta,2006,Consultorios de consulta externa,152
1109,Meta,2006,Consultorios en el servicio de urgencias,41
1110,Meta,2006,Salas de quirófanos,10
1111,Meta,2006,Mesas de partos,42
1112,Meta,2006,Número de unidades de odontología,70
1113,Nariño,2006,Camas de hospitalización,592
1114,Nariño,2006,Camas de observación,363
1115,Nariño,2006,Consultorios de consulta externa,447
1116,Nariño,2006,Consultorios en el servicio de urgencias,127
1117,Nariño,2006,Salas de quirófanos,20
1118,Nariño,2006,Mesas de partos,89
1119,Nariño,2006,Número de unidades de odontología,236
1120,Norte de Santander,2006,Camas de hospitalización,856
1121,Norte de Santander,2006,Camas de observación,274
1122,Norte de Santander,2006,Consultorios de consulta externa,205
1123,Norte de Santander,2006,Consultorios en el servicio de urgencias,65
1124,Norte de Santander,2006,Salas de quirófanos,18
1125,Norte de Santander,2006,Mesas de partos,67
1126,Norte de Santander,2006,Número de unidades de odontología,126
1127,Putumayo,2006,Camas de hospitalización,327
1128,Putumayo,2006,Camas de observación,79
1129,Putumayo,2006,Consultorios de consulta externa,69
1130,Putumayo,2006,Consultorios en el servicio de urgencias,14
1131,Putumayo,2006,Salas de quirófanos,8
1132,Putumayo,2006,Mesas de partos,15
1133,Putumayo,2006,Número de unidades de odontología,46
1134,Quindío,2006,Camas de hospitalización,512
1135,Quindío,2006,Camas de observación,115
1136,Quindío,2006,Consultorios de consulta externa,122
1137,Quindío,2006,Consultorios en el servicio de urgencias,31
1138,Quindío,2006,Salas de quirófanos,11
1139,Quindío,2006,Mesas de partos,18
1140,Quindío,2006,Número de unidades de odontología,65
1141,Risaralda,2006,Camas de hospitalización,616
1142,Risaralda,2006,Camas de observación,165
1143,Risaralda,2006,Consultorios de consulta externa,220
1144,Risaralda,2006,Consultorios en el servicio de urgencias,36
1145,Risaralda,2006,Salas de quirófanos,15
1146,Risaralda,2006,Mesas de partos,24
1147,Risaralda,2006,Número de unidades de odontología,81
1148,Santander,2006,Camas de hospitalización,1.700
1149,Santander,2006,Camas de observación,286
1150,Santander,2006,Consultorios de consulta externa,352
1151,Santander,2006,Consultorios en el servicio de urgencias,121
1152,Santander,2006,Salas de quirófanos,51
1153,Santander,2006,Mesas de partos,110
1154,Santander,2006,Número de unidades de odontología,179
1155,Sucre,2006,Camas de hospitalización,550
1156,Sucre,2006,Camas de observación,194
1157,Sucre,2006,Consultorios de consulta externa,176
1158,Sucre,2006,Consultorios en el servicio de urgencias,44
1159,Sucre,2006,Salas de quirófanos,18
1160,Sucre,2006,Mesas de partos,41
1161,Sucre,2006,Número de unidades de odontología,64
1162,Tolima,2006,Camas de hospitalización,1.022
1163,Tolima,2006,Camas de observación,193
1164,Tolima,2006,Consultorios de consulta externa,217
1165,Tolima,2006,Consultorios en el servicio de urgencias,73
1166,Tolima,2006,Salas de quirófanos,22
1167,Tolima,2006,Mesas de partos,63
1168,Tolima,2006,Número de unidades de odontología,113
1169,Valle del Cauca,2006,Camas de hospitalización,1.875
1170,Valle del Cauca,2006,Camas de observación,443
1171,Valle del Cauca,2006,Consultorios de consulta externa,842
1172,Valle del Cauca,2006,Consultorios en el servicio de urgencias,117
1173,Valle del Cauca,2006,Salas de quirófanos,68
1174,Valle del Cauca,2006,Mesas de partos,73
1175,Valle del Cauca,2006,Número de unidades de odontología,318
1176,Vaupés,2006,Camas de hospitalización,28
1177,Vaupés,2006,Camas de observación,6
1178,Vaupés,2006,Consultorios de consulta externa,3
1179,Vaupés,2006,Consultorios en el servicio de urgencias,1
1180,Vaupés,2006,Salas de quirófanos,1
1181,Vaupés,2006,Mesas de partos,1
1182,Vaupés,2006,Número de unidades de odontología,3
1183,Vichada,2006,Camas de hospitalización,92
1184,Vichada,2006,Camas de observación,12
1185,Vichada,2006,Consultorios de consulta externa,19
1186,Vichada,2006,Consultorios en el servicio de urgencias,7
1187,Vichada,2006,Salas de quirófanos,5
1188,Vichada,2006,Mesas de partos,7
1189,Vichada,2006,Número de unidades de odontología,16
1190,Nacional,2007,Camas de hospitalización,25.121
1191,Nacional,2007,Camas de observación,6.010
1192,Nacional,2007,Consultorios de consulta externa,8.516
1193,Nacional,2007,Consultorios en el servicio de urgencias,1.834
1194,Nacional,2007,Salas de quirófanos,636
1195,Nacional,2007,Mesas de partos,1.511
1196,Nacional,2007,Número de unidades de odontología,3.861
1197,Amazonas,2007,Camas de hospitalización,85
1198,Amazonas,2007,Camas de observación,29
1199,Amazonas,2007,Consultorios de consulta externa,32
1200,Amazonas,2007,Consultorios en el servicio de urgencias,10
1201,Amazonas,2007,Salas de quirófanos,3
1202,Amazonas,2007,Mesas de partos,10
1203,Amazonas,2007,Número de unidades de odontología,12
1204,Antioquia,2007,Camas de hospitalización,3.108
1205,Antioquia,2007,Camas de observación,686
1206,Antioquia,2007,Consultorios de consulta externa,1.175
1207,Antioquia,2007,Consultorios en el servicio de urgencias,212
1208,Antioquia,2007,Salas de quirófanos,73
1209,Antioquia,2007,Mesas de partos,169
1210,Antioquia,2007,Número de unidades de odontología,491
1211,Arauca,2007,Camas de hospitalización,181
1212,Arauca,2007,Camas de observación,52
1213,Arauca,2007,Consultorios de consulta externa,71
1214,Arauca,2007,Consultorios en el servicio de urgencias,14
1215,Arauca,2007,Salas de quirófanos,10
1216,Arauca,2007,Mesas de partos,9
1217,Arauca,2007,Número de unidades de odontología,33
1218,Atlántico,2007,Camas de hospitalización,980
1219,Atlántico,2007,Camas de observación,193
1220,Atlántico,2007,Consultorios de consulta externa,258
1221,Atlántico,2007,Consultorios en el servicio de urgencias,54
1222,Atlántico,2007,Salas de quirófanos,17
1223,Atlántico,2007,Mesas de partos,47
1224,Atlántico,2007,Número de unidades de odontología,91
1225,"Bogotá, D.C.",2007,Camas de hospitalización,2.771
1226,"Bogotá, D.C.",2007,Camas de observación,378
1227,"Bogotá, D.C.",2007,Consultorios de consulta externa,850
1228,"Bogotá, D.C.",2007,Consultorios en el servicio de urgencias,108
1229,"Bogotá, D.C.",2007,Salas de quirófanos,73
1230,"Bogotá, D.C.",2007,Mesas de partos,38
1231,"Bogotá, D.C.",2007,Número de unidades de odontología,284
1232,Bolívar,2007,Camas de hospitalización,657
1233,Bolívar,2007,Camas de observación,292
1234,Bolívar,2007,Consultorios de consulta externa,314
1235,Bolívar,2007,Consultorios en el servicio de urgencias,70
1236,Bolívar,2007,Salas de quirófanos,15
1237,Bolívar,2007,Mesas de partos,75
1238,Bolívar,2007,Número de unidades de odontología,143
1239,Boyacá,2007,Camas de hospitalización,882
1240,Boyacá,2007,Camas de observación,254
1241,Boyacá,2007,Consultorios de consulta externa,431
1242,Boyacá,2007,Consultorios en el servicio de urgencias,104
1243,Boyacá,2007,Salas de quirófanos,29
1244,Boyacá,2007,Mesas de partos,79
1245,Boyacá,2007,Número de unidades de odontología,257
1246,Caldas,2007,Camas de hospitalización,886
1247,Caldas,2007,Camas de observación,152
1248,Caldas,2007,Consultorios de consulta externa,245
1249,Caldas,2007,Consultorios en el servicio de urgencias,58
1250,Caldas,2007,Salas de quirófanos,23
1251,Caldas,2007,Mesas de partos,49
1252,Caldas,2007,Número de unidades de odontología,125
1253,Caquetá,2007,Camas de hospitalización,327
1254,Caquetá,2007,Camas de observación,79
1255,Caquetá,2007,Consultorios de consulta externa,58
1256,Caquetá,2007,Consultorios en el servicio de urgencias,19
1257,Caquetá,2007,Salas de quirófanos,6
1258,Caquetá,2007,Mesas de partos,24
1259,Caquetá,2007,Número de unidades de odontología,44
1260,Casanare,2007,Camas de hospitalización,301
1261,Casanare,2007,Camas de observación,76
1262,Casanare,2007,Consultorios de consulta externa,143
1263,Casanare,2007,Consultorios en el servicio de urgencias,26
1264,Casanare,2007,Salas de quirófanos,5
1265,Casanare,2007,Mesas de partos,21
1266,Casanare,2007,Número de unidades de odontología,50
1267,Cauca,2007,Camas de hospitalización,650
1268,Cauca,2007,Camas de observación,244
1269,Cauca,2007,Consultorios de consulta externa,283
1270,Cauca,2007,Consultorios en el servicio de urgencias,58
1271,Cauca,2007,Salas de quirófanos,17
1272,Cauca,2007,Mesas de partos,69
1273,Cauca,2007,Número de unidades de odontología,154
1274,Cesar,2007,Camas de hospitalización,812
1275,Cesar,2007,Camas de observación,180
1276,Cesar,2007,Consultorios de consulta externa,253
1277,Cesar,2007,Consultorios en el servicio de urgencias,72
1278,Cesar,2007,Salas de quirófanos,15
1279,Cesar,2007,Mesas de partos,56
1280,Cesar,2007,Número de unidades de odontología,86
1281,Chocó,2007,Camas de hospitalización,275
1282,Chocó,2007,Camas de observación,113
1283,Chocó,2007,Consultorios de consulta externa,59
1284,Chocó,2007,Consultorios en el servicio de urgencias,16
1285,Chocó,2007,Salas de quirófanos,6
1286,Chocó,2007,Mesas de partos,35
1287,Chocó,2007,Número de unidades de odontología,36
1288,Córdoba,2007,Camas de hospitalización,741
1289,Córdoba,2007,Camas de observación,149
1290,Córdoba,2007,Consultorios de consulta externa,279
1291,Córdoba,2007,Consultorios en el servicio de urgencias,55
1292,Córdoba,2007,Salas de quirófanos,15
1293,Córdoba,2007,Mesas de partos,45
1294,Córdoba,2007,Número de unidades de odontología,109
1295,Cundinamarca,2007,Camas de hospitalización,1.713
1296,Cundinamarca,2007,Camas de observación,360
1297,Cundinamarca,2007,Consultorios de consulta externa,537
1298,Cundinamarca,2007,Consultorios en el servicio de urgencias,110
1299,Cundinamarca,2007,Salas de quirófanos,62
1300,Cundinamarca,2007,Mesas de partos,68
1301,Cundinamarca,2007,Número de unidades de odontología,235
1302,Guainía,2007,Camas de hospitalización,59
1303,Guainía,2007,Camas de observación,6
1304,Guainía,2007,Consultorios de consulta externa,11
1305,Guainía,2007,Consultorios en el servicio de urgencias,4
1306,Guainía,2007,Salas de quirófanos,3
1307,Guainía,2007,Mesas de partos,5
1308,Guainía,2007,Número de unidades de odontología,8
1309,Guaviare,2007,Camas de hospitalización,142
1310,Guaviare,2007,Camas de observación,16
1311,Guaviare,2007,Consultorios de consulta externa,31
1312,Guaviare,2007,Consultorios en el servicio de urgencias,13
1313,Guaviare,2007,Salas de quirófanos,2
1314,Guaviare,2007,Mesas de partos,11
1315,Guaviare,2007,Número de unidades de odontología,11
1316,Huila,2007,Camas de hospitalización,799
1317,Huila,2007,Camas de observación,255
1318,Huila,2007,Consultorios de consulta externa,235
1319,Huila,2007,Consultorios en el servicio de urgencias,59
1320,Huila,2007,Salas de quirófanos,13
1321,Huila,2007,Mesas de partos,50
1322,Huila,2007,Número de unidades de odontología,146
1323,La Guajira,2007,Camas de hospitalización,340
1324,La Guajira,2007,Camas de observación,108
1325,La Guajira,2007,Consultorios de consulta externa,137
1326,La Guajira,2007,Consultorios en el servicio de urgencias,49
1327,La Guajira,2007,Salas de quirófanos,13
1328,La Guajira,2007,Mesas de partos,28
1329,La Guajira,2007,Número de unidades de odontología,68
1330,Magdalena,2007,Camas de hospitalización,631
1331,Magdalena,2007,Camas de observación,166
1332,Magdalena,2007,Consultorios de consulta externa,217
1333,Magdalena,2007,Consultorios en el servicio de urgencias,57
1334,Magdalena,2007,Salas de quirófanos,17
1335,Magdalena,2007,Mesas de partos,69
1336,Magdalena,2007,Número de unidades de odontología,113
1337,Meta,2007,Camas de hospitalización,613
1338,Meta,2007,Camas de observación,160
1339,Meta,2007,Consultorios de consulta externa,153
1340,Meta,2007,Consultorios en el servicio de urgencias,47
1341,Meta,2007,Salas de quirófanos,10
1342,Meta,2007,Mesas de partos,40
1343,Meta,2007,Número de unidades de odontología,71
1344,Nariño,2007,Camas de hospitalización,692
1345,Nariño,2007,Camas de observación,396
1346,Nariño,2007,Consultorios de consulta externa,427
1347,Nariño,2007,Consultorios en el servicio de urgencias,115
1348,Nariño,2007,Salas de quirófanos,19
1349,Nariño,2007,Mesas de partos,89
1350,Nariño,2007,Número de unidades de odontología,245
1351,Norte de Santander,2007,Camas de hospitalización,847
1352,Norte de Santander,2007,Camas de observación,243
1353,Norte de Santander,2007,Consultorios de consulta externa,227
1354,Norte de Santander,2007,Consultorios en el servicio de urgencias,68
1355,Norte de Santander,2007,Salas de quirófanos,15
1356,Norte de Santander,2007,Mesas de partos,73
1357,Norte de Santander,2007,Número de unidades de odontología,121
1358,Putumayo,2007,Camas de hospitalización,331
1359,Putumayo,2007,Camas de observación,74
1360,Putumayo,2007,Consultorios de consulta externa,74
1361,Putumayo,2007,Consultorios en el servicio de urgencias,14
1362,Putumayo,2007,Salas de quirófanos,9
1363,Putumayo,2007,Mesas de partos,16
1364,Putumayo,2007,Número de unidades de odontología,38
1365,Quindío,2007,Camas de hospitalización,498
1366,Quindío,2007,Camas de observación,101
1367,Quindío,2007,Consultorios de consulta externa,134
1368,Quindío,2007,Consultorios en el servicio de urgencias,30
1369,Quindío,2007,Salas de quirófanos,10
1370,Quindío,2007,Mesas de partos,16
1371,Quindío,2007,Número de unidades de odontología,67
1372,Risaralda,2007,Camas de hospitalización,626
1373,Risaralda,2007,Camas de observación,186
1374,Risaralda,2007,Consultorios de consulta externa,217
1375,Risaralda,2007,Consultorios en el servicio de urgencias,39
1376,Risaralda,2007,Salas de quirófanos,14
1377,Risaralda,2007,Mesas de partos,26
1378,Risaralda,2007,Número de unidades de odontología,84
1379,Santander,2007,Camas de hospitalización,1.635
1380,Santander,2007,Camas de observación,232
1381,Santander,2007,Consultorios de consulta externa,366
1382,Santander,2007,Consultorios en el servicio de urgencias,113
1383,Santander,2007,Salas de quirófanos,45
1384,Santander,2007,Mesas de partos,108
1385,Santander,2007,Número de unidades de odontología,176
1386,Sucre,2007,Camas de hospitalización,567
1387,Sucre,2007,Camas de observación,171
1388,Sucre,2007,Consultorios de consulta externa,183
1389,Sucre,2007,Consultorios en el servicio de urgencias,46
1390,Sucre,2007,Salas de quirófanos,8
1391,Sucre,2007,Mesas de partos,42
1392,Sucre,2007,Número de unidades de odontología,67
1393,Tolima,2007,Camas de hospitalización,1.033
1394,Tolima,2007,Camas de observación,181
1395,Tolima,2007,Consultorios de consulta externa,292
1396,Tolima,2007,Consultorios en el servicio de urgencias,71
1397,Tolima,2007,Salas de quirófanos,19
1398,Tolima,2007,Mesas de partos,60
1399,Tolima,2007,Número de unidades de odontología,111
1400,Valle del Cauca,2007,Camas de hospitalización,1.819
1401,Valle del Cauca,2007,Camas de observación,460
1402,Valle del Cauca,2007,Consultorios de consulta externa,801
1403,Valle del Cauca,2007,Consultorios en el servicio de urgencias,115
1404,Valle del Cauca,2007,Salas de quirófanos,64
1405,Valle del Cauca,2007,Mesas de partos,76
1406,Valle del Cauca,2007,Número de unidades de odontología,365
1407,Vaupés,2007,Camas de hospitalización,28
1408,Vaupés,2007,Camas de observación,6
1409,Vaupés,2007,Consultorios de consulta externa,4
1410,Vaupés,2007,Consultorios en el servicio de urgencias,1
1411,Vaupés,2007,Salas de quirófanos,1
1412,Vaupés,2007,Mesas de partos,1
1413,Vaupés,2007,Número de unidades de odontología,4
1414,Vichada,2007,Camas de hospitalización,92
1415,Vichada,2007,Camas de observación,12
1416,Vichada,2007,Consultorios de consulta externa,19
1417,Vichada,2007,Consultorios en el servicio de urgencias,7
1418,Vichada,2007,Salas de quirófanos,5
1419,Vichada,2007,Mesas de partos,7
1420,Vichada,2007,Número de unidades de odontología,16
1421,Nacional,2008,Camas de hospitalización,24.882
1422,Nacional,2008,Camas de observación,6.270
1423,Nacional,2008,Consultorios de consulta externa,8.478
1424,Nacional,2008,Consultorios en el servicio de urgencias,2.133
1425,Nacional,2008,Salas de quirófanos,614
1426,Nacional,2008,Mesas de partos,1.463
1427,Nacional,2008,Número de unidades de odontología,5.063
1428,Amazonas,2008,Camas de hospitalización,89
1429,Amazonas,2008,Camas de observación,29
1430,Amazonas,2008,Consultorios de consulta externa,31
1431,Amazonas,2008,Consultorios en el servicio de urgencias,18
1432,Amazonas,2008,Salas de quirófanos,11
1433,Amazonas,2008,Mesas de partos,9
1434,Amazonas,2008,Número de unidades de odontología,18
1435,Antioquia,2008,Camas de hospitalización,3.100
1436,Antioquia,2008,Camas de observación,738
1437,Antioquia,2008,Consultorios de consulta externa,1.021
1438,Antioquia,2008,Consultorios en el servicio de urgencias,220
1439,Antioquia,2008,Salas de quirófanos,73
1440,Antioquia,2008,Mesas de partos,169
1441,Antioquia,2008,Número de unidades de odontología,435
1442,Arauca,2008,Camas de hospitalización,188
1443,Arauca,2008,Camas de observación,46
1444,Arauca,2008,Consultorios de consulta externa,70
1445,Arauca,2008,Consultorios en el servicio de urgencias,14
1446,Arauca,2008,Salas de quirófanos,9
1447,Arauca,2008,Mesas de partos,9
1448,Arauca,2008,Número de unidades de odontología,32
1449,Atlántico,2008,Camas de hospitalización,684
1450,Atlántico,2008,Camas de observación,133
1451,Atlántico,2008,Consultorios de consulta externa,179
1452,Atlántico,2008,Consultorios en el servicio de urgencias,36
1453,Atlántico,2008,Salas de quirófanos,11
1454,Atlántico,2008,Mesas de partos,33
1455,Atlántico,2008,Número de unidades de odontología,64
1456,"Bogotá, D.C.",2008,Camas de hospitalización,2.786
1457,"Bogotá, D.C.",2008,Camas de observación,376
1458,"Bogotá, D.C.",2008,Consultorios de consulta externa,803
1459,"Bogotá, D.C.",2008,Consultorios en el servicio de urgencias,118
1460,"Bogotá, D.C.",2008,Salas de quirófanos,68
1461,"Bogotá, D.C.",2008,Mesas de partos,38
1462,"Bogotá, D.C.",2008,Número de unidades de odontología,283
1463,Bolívar,2008,Camas de hospitalización,610
1464,Bolívar,2008,Camas de observación,291
1465,Bolívar,2008,Consultorios de consulta externa,327
1466,Bolívar,2008,Consultorios en el servicio de urgencias,78
1467,Bolívar,2008,Salas de quirófanos,19
1468,Bolívar,2008,Mesas de partos,72
1469,Bolívar,2008,Número de unidades de odontología,148
1470,Boyacá,2008,Camas de hospitalización,856
1471,Boyacá,2008,Camas de observación,232
1472,Boyacá,2008,Consultorios de consulta externa,458
1473,Boyacá,2008,Consultorios en el servicio de urgencias,414
1474,Boyacá,2008,Salas de quirófanos,26
1475,Boyacá,2008,Mesas de partos,69
1476,Boyacá,2008,Número de unidades de odontología,1.522
1477,Caldas,2008,Camas de hospitalización,937
1478,Caldas,2008,Camas de observación,160
1479,Caldas,2008,Consultorios de consulta externa,258
1480,Caldas,2008,Consultorios en el servicio de urgencias,59
1481,Caldas,2008,Salas de quirófanos,20
1482,Caldas,2008,Mesas de partos,47
1483,Caldas,2008,Número de unidades de odontología,137
1484,Caquetá,2008,Camas de hospitalización,335
1485,Caquetá,2008,Camas de observación,94
1486,Caquetá,2008,Consultorios de consulta externa,96
1487,Caquetá,2008,Consultorios en el servicio de urgencias,17
1488,Caquetá,2008,Salas de quirófanos,6
1489,Caquetá,2008,Mesas de partos,19
1490,Caquetá,2008,Número de unidades de odontología,38
1491,Casanare,2008,Camas de hospitalización,297
1492,Casanare,2008,Camas de observación,91
1493,Casanare,2008,Consultorios de consulta externa,132
1494,Casanare,2008,Consultorios en el servicio de urgencias,26
1495,Casanare,2008,Salas de quirófanos,3
1496,Casanare,2008,Mesas de partos,21
1497,Casanare,2008,Número de unidades de odontología,45
1498,Cauca,2008,Camas de hospitalización,635
1499,Cauca,2008,Camas de observación,248
1500,Cauca,2008,Consultorios de consulta externa,297
1501,Cauca,2008,Consultorios en el servicio de urgencias,60
1502,Cauca,2008,Salas de quirófanos,17
1503,Cauca,2008,Mesas de partos,68
1504,Cauca,2008,Número de unidades de odontología,170
1505,Cesar,2008,Camas de hospitalización,763
1506,Cesar,2008,Camas de observación,207
1507,Cesar,2008,Consultorios de consulta externa,215
1508,Cesar,2008,Consultorios en el servicio de urgencias,60
1509,Cesar,2008,Salas de quirófanos,15
1510,Cesar,2008,Mesas de partos,55
1511,Cesar,2008,Número de unidades de odontología,78
1512,Chocó,2008,Camas de hospitalización,313
1513,Chocó,2008,Camas de observación,123
1514,Chocó,2008,Consultorios de consulta externa,58
1515,Chocó,2008,Consultorios en el servicio de urgencias,15
1516,Chocó,2008,Salas de quirófanos,7
1517,Chocó,2008,Mesas de partos,37
1518,Chocó,2008,Número de unidades de odontología,37
1519,Córdoba,2008,Camas de hospitalización,742
1520,Córdoba,2008,Camas de observación,150
1521,Córdoba,2008,Consultorios de consulta externa,268
1522,Córdoba,2008,Consultorios en el servicio de urgencias,57
1523,Córdoba,2008,Salas de quirófanos,15
1524,Córdoba,2008,Mesas de partos,47
1525,Córdoba,2008,Número de unidades de odontología,108
1526,Cundinamarca,2008,Camas de hospitalización,1.525
1527,Cundinamarca,2008,Camas de observación,340
1528,Cundinamarca,2008,Consultorios de consulta externa,481
1529,Cundinamarca,2008,Consultorios en el servicio de urgencias,104
1530,Cundinamarca,2008,Salas de quirófanos,59
1531,Cundinamarca,2008,Mesas de partos,64
1532,Cundinamarca,2008,Número de unidades de odontología,192
1533,Guainía,2008,Camas de hospitalización,42
1534,Guainía,2008,Camas de observación,6
1535,Guainía,2008,Consultorios de consulta externa,10
1536,Guainía,2008,Consultorios en el servicio de urgencias,1
1537,Guainía,2008,Salas de quirófanos,2
1538,Guainía,2008,Mesas de partos,2
1539,Guainía,2008,Número de unidades de odontología,5
1540,Guaviare,2008,Camas de hospitalización,142
1541,Guaviare,2008,Camas de observación,38
1542,Guaviare,2008,Consultorios de consulta externa,27
1543,Guaviare,2008,Consultorios en el servicio de urgencias,13
1544,Guaviare,2008,Salas de quirófanos,2
1545,Guaviare,2008,Mesas de partos,11
1546,Guaviare,2008,Número de unidades de odontología,11
1547,Huila,2008,Camas de hospitalización,728
1548,Huila,2008,Camas de observación,258
1549,Huila,2008,Consultorios de consulta externa,257
1550,Huila,2008,Consultorios en el servicio de urgencias,62
1551,Huila,2008,Salas de quirófanos,14
1552,Huila,2008,Mesas de partos,49
1553,Huila,2008,Número de unidades de odontología,152
1554,La Guajira,2008,Camas de hospitalización,358
1555,La Guajira,2008,Camas de observación,113
1556,La Guajira,2008,Consultorios de consulta externa,164
1557,La Guajira,2008,Consultorios en el servicio de urgencias,35
1558,La Guajira,2008,Salas de quirófanos,13
1559,La Guajira,2008,Mesas de partos,30
1560,La Guajira,2008,Número de unidades de odontología,67
1561,Magdalena,2008,Camas de hospitalización,697
1562,Magdalena,2008,Camas de observación,174
1563,Magdalena,2008,Consultorios de consulta externa,222
1564,Magdalena,2008,Consultorios en el servicio de urgencias,57
1565,Magdalena,2008,Salas de quirófanos,13
1566,Magdalena,2008,Mesas de partos,63
1567,Magdalena,2008,Número de unidades de odontología,110
1568,Meta,2008,Camas de hospitalización,629
1569,Meta,2008,Camas de observación,172
1570,Meta,2008,Consultorios de consulta externa,152
1571,Meta,2008,Consultorios en el servicio de urgencias,44
1572,Meta,2008,Salas de quirófanos,9
1573,Meta,2008,Mesas de partos,35
1574,Meta,2008,Número de unidades de odontología,70
1575,Nariño,2008,Camas de hospitalización,673
1576,Nariño,2008,Camas de observación,425
1577,Nariño,2008,Consultorios de consulta externa,451
1578,Nariño,2008,Consultorios en el servicio de urgencias,103
1579,Nariño,2008,Salas de quirófanos,19
1580,Nariño,2008,Mesas de partos,90
1581,Nariño,2008,Número de unidades de odontología,243
1582,Norte de Santander,2008,Camas de hospitalización,863
1583,Norte de Santander,2008,Camas de observación,263
1584,Norte de Santander,2008,Consultorios de consulta externa,215
1585,Norte de Santander,2008,Consultorios en el servicio de urgencias,68
1586,Norte de Santander,2008,Salas de quirófanos,15
1587,Norte de Santander,2008,Mesas de partos,71
1588,Norte de Santander,2008,Número de unidades de odontología,123
1589,Putumayo,2008,Camas de hospitalización,282
1590,Putumayo,2008,Camas de observación,93
1591,Putumayo,2008,Consultorios de consulta externa,77
1592,Putumayo,2008,Consultorios en el servicio de urgencias,16
1593,Putumayo,2008,Salas de quirófanos,9
1594,Putumayo,2008,Mesas de partos,12
1595,Putumayo,2008,Número de unidades de odontología,43
1596,Quindío,2008,Camas de hospitalización,524
1597,Quindío,2008,Camas de observación,108
1598,Quindío,2008,Consultorios de consulta externa,150
1599,Quindío,2008,Consultorios en el servicio de urgencias,34
1600,Quindío,2008,Salas de quirófanos,12
1601,Quindío,2008,Mesas de partos,18
1602,Quindío,2008,Número de unidades de odontología,73
1603,Risaralda,2008,Camas de hospitalización,622
1604,Risaralda,2008,Camas de observación,184
1605,Risaralda,2008,Consultorios de consulta externa,231
1606,Risaralda,2008,Consultorios en el servicio de urgencias,40
1607,Risaralda,2008,Salas de quirófanos,15
1608,Risaralda,2008,Mesas de partos,26
1609,Risaralda,2008,Número de unidades de odontología,87
1610,Santander,2008,Camas de hospitalización,1.709
1611,Santander,2008,Camas de observación,273
1612,Santander,2008,Consultorios de consulta externa,399
